STATE,YEAR,Abortion Rate per 1000 People,"Abortion Rate per 100,000 People (Adjusted)(Age:15-19)",Birth Rate per 1000 People,"Birth Rate per 100,000 People (Adjusted)(Age:15-19)",Pregnancy Rate per 1000 People,"Pregnancy Rate per 100,000 People (Adjusted)(Age:15-19)","HIV Rate per 100,000 People","HIV Rate per 100,000 People (Adjusted)(Age:13-24)","STD Rate per 100,000 People","STD Rate per 100,000 People (Adjusted)(Age:Under 19)"
Minnesota,1989,26.15,-823.95,32.375,-2055.686275,67.625,-3299,,,,
Mississippi,1989,16.8,-1758.95,76.4,2346.813725,110.15,953.5,,,,
Missouri,1989,27.9,-648.95,57.4,446.8137255,99.5,-111.5,,,,
Montana,1989,23.8,-1058.95,41.65,-1128.186275,76.225,-2439,,,,
Nebraska,1989,25.8,-858.95,39.15,-1378.186275,75.4,-2521.5,,,,
Nevada,1989,55.925,2153.55,65.65,1271.813725,140.325,3971,,,,
New Hampshire,1989,38.825,443.55,32.275,-2065.686275,81.45,-1916.5,,,,
New Jersey,1989,54.35,1996.05,38.15,-1478.186275,105.575,496,,,,
New Mexico,1989,33.125,-126.45,74.225,2129.313725,125.5,2488.5,,,,
New York,1989,59.125,2473.55,40.825,-1210.686275,114.075,1346,,,,
North Carolina,1989,41.125,673.55,62.975,1004.313725,120.75,2013.5,,,,
North Dakota,1989,17.425,-1696.45,33.45,-1948.186275,59.275,-4134,,,,
Ohio,1989,28.075,-631.45,53.35,41.81372549,94.9,-571.5,,,,
Oklahoma,1989,24.175,-1021.45,65.075,1214.313725,104.65,403.5,,,,
Oregon,1989,39.85,546.05,49.175,-375.6862745,102.825,221,,,,
Pennsylvania,1989,31.525,-286.45,42.175,-1075.686275,85.25,-1536.5,,,,
Rhode Island,1989,35.4,101.05,40.275,-1265.686275,87.25,-1336.5,,,,
South Carolina,1989,30.2,-418.95,66.25,1331.813725,112.75,1213.5,,,,
South Dakota,1989,14.925,-1946.45,46.65,-628.1862745,72.45,-2816.5,,,,
Tennessee,1989,28.55,-583.95,65.95,1301.813725,110.55,993.5,,,,
Texas,1989,29.175,-521.45,71.375,1844.313725,117.7,1708.5,,,,
Utah,1989,13.85,-2053.95,45.925,-700.6862745,70.375,-3024,,,,
Vermont,1989,34.025,-36.45,34.1,-1883.186275,78.35,-2226.5,,,,
Virginia,1989,42.2,781.05,47.05,-588.1862745,102.925,231,,,,
Washington,1989,44.75,1036.05,48.075,-485.6862745,106.925,631,,,,
West Virginia,1989,16.65,-1773.95,51.5,-143.1862745,80.05,-2056.5,,,,
Wisconsin,1989,26.375,-801.45,39.225,-1370.686275,76,-2461.5,,,,
Wyoming,1989,22.25,-1213.95,49.425,-350.6862745,83.8,-1681.5,,,,
Alabama,1990,29.3,-344.5,67.65,1322.54902,113.45,1300.2,,,,
Alaska,1990,32.95,20.5,60.4,597.5490196,108.75,830.2,,,,
Arizona,1990,35.5,275.5,74.8,2037.54902,128.8,2835.2,,,,
Arkansas,1990,25.2,-754.5,73.2,1877.54902,115.6,1515.2,,,,
California,1990,68.8,3605.5,65.6,1117.54902,154.35,5390.2,,,,
Colorado,1990,37.8,505.5,53.55,-87.45098039,105.8,535.2,,,,
Connecticut,1990,49.7,1695.5,37,-1742.45098,99.05,-139.8,,,,
Delaware,1990,46.25,1350.5,55.9,147.5490196,117.9,1745.2,,,,
District of Columbia,1990,,0,91.15,3672.54902,,0,,,,
Florida,1990,46.45,1370.5,63.8,937.5490196,127.7,2725.2,,,,
Georgia,1990,34.75,200.5,71.2,1677.54902,123.65,2320.2,,,,
Hawaii,1990,66.95,3420.5,51.6,-282.4509804,135.55,3510.2,,,,
Idaho,1990,15.85,-1689.5,49,-542.4509804,76.35,-2409.8,,,,
