STATE,YEAR,Abortion Rate per 1000 People,"Abortion Rate per 100,000 People (Adjusted)(Age:15-19)",Birth Rate per 1000 People,"Birth Rate per 100,000 People (Adjusted)(Age:15-19)",Pregnancy Rate per 1000 People,"Pregnancy Rate per 100,000 People (Adjusted)(Age:15-19)","HIV Rate per 100,000 People","HIV Rate per 100,000 People (Adjusted)(Age:13-24)","STD Rate per 100,000 People","STD Rate per 100,000 People (Adjusted)(Age:Under 19)"
Maine,1994,19.65,-701,35.85,-1826.666667,64.6,-2873.8,,,,
Maryland,1994,48.8,2214,48.15,-596.6666667,111.45,1811.2,,,,
Massachusetts,1994,36.35,969,34.3,-1981.666667,81.15,-1218.8,,,,
Michigan,1994,32.5,584,51.5,-261.6666667,97.65,431.2,,,,
Minnesota,1994,17,-966,34.1,-2001.666667,59.65,-3368.8,,,,
Mississippi,1994,17.2,-946,78.8,2468.333333,113.45,2011.2,,,,
Missouri,1994,18.7,-796,58.15,403.3333333,90.35,-298.8,,,,
Montana,1994,20.4,-626,42.65,-1146.666667,73.6,-1973.8,,,,
Nebraska,1994,16.65,-1001,40,-1411.666667,66.4,-2693.8,,,,
Nevada,1994,51.7,2504,70.05,1593.333333,140.95,4761.2,,,,
New Hampshire,1994,21.5,-516,29.75,-2436.666667,59.35,-3398.8,,,,
New Jersey,1994,48,2134,37.05,-1706.666667,97.25,391.2,,,,
New Mexico,1994,25.8,-86,75.1,2098.333333,118.5,2516.2,,,,
New York,1994,54.45,2779,42.2,-1191.666667,110.55,1721.2,,,,
North Carolina,1994,29.5,284,65.75,1163.333333,111.3,1796.2,,,,
North Dakota,1994,12,-1466,34.25,-1986.666667,54.3,-3903.8,,,,
Ohio,1994,19.95,-671,54.2,8.333333333,86.95,-638.8,,,,
Oklahoma,1994,13.9,-1276,66.45,1233.333333,95.05,171.2,,,,
Oregon,1994,29.15,249,51.75,-236.6666667,94.15,81.2,,,,
Pennsylvania,1994,23.4,-326,41.6,-1251.666667,75.65,-1768.8,,,,
Rhode Island,1994,32.55,589,42.55,-1156.666667,86.85,-648.8,,,,
South Carolina,1994,20.85,-581,64.95,1083.333333,100.95,761.2,,,,
South Dakota,1994,12.9,-1376,44.2,-991.6666667,67.2,-2613.8,,,,
Tennessee,1994,20.65,-601,67.7,1358.333333,103.95,1061.2,,,,
Texas,1994,23.95,-271,75.65,2153.333333,117.15,2381.2,,,,
Utah,1994,8.1,-1856,43.45,-1066.666667,61.05,-3228.8,,,,
Vermont,1994,24.45,-221,32.55,-2156.666667,65.95,-2738.8,,,,
Virginia,1994,32.3,564,48.55,-556.6666667,93.8,46.2,,,,
Washington,1994,35.4,874,48.3,-581.6666667,96.9,356.2,,,,
West Virginia,1994,14.35,-1231,53.4,-71.66666667,79.85,-1348.8,,,,
Wisconsin,1994,18.15,-851,39.45,-1466.666667,67.3,-2603.8,,,,
Wyoming,1994,18.45,-821,47.25,-686.6666667,77,-1633.8,,,,
Alabama,1995,21.725,-353.7,68.325,1585.490196,105.9,1595,,,,
Alaska,1995,21.675,-358.7,54.4,192.9901961,89.075,-87.5,,,,
Arizona,1995,27.775,251.3,73.675,2120.490196,119,2905,,,,
Arkansas,1995,17.8,-746.2,73.825,2135.490196,108.175,1822.5,,,,
California,1995,50.6,2533.8,63.95,1147.990196,132.35,4240,,,,
Colorado,1995,31.5,623.8,52.625,15.49019608,97.725,777.5,,,,
Connecticut,1995,38.7,1343.8,37.2,-1527.009804,87.2,-275,,,,
Delaware,1995,28.725,346.3,55.025,255.4901961,97.575,762.5,,,,
District of Columbia,1995,,0,86.075,3360.490196,,0,,,,
Florida,1995,41.05,1578.8,59.2,672.9901961,116.2,2625,,,,
Georgia,1995,27.5,223.8,68.65,1617.990196,112.7,2275,,,,
Hawaii,1995,47,2173.8,50.225,-224.5098039,112.05,2210,,,,
Idaho,1995,12.5,-1276.2,48.05,-442.0098039,71.45,-1850,,,,
Illinois,1995,34.2,893.8,57.225,475.4901961,106.325,1637.5,,,,
Indiana,1995,19.15,-611.2,55.95,347.9901961,88.175,-177.5,,,,
Iowa,1995,12.725,-1253.7,38.175,-1429.509804,59.775,-3017.5,,,,
Kansas,1995,18.1,-716.2,50.95,-152.0098039,81.075,-887.5,,,,
Kentucky,1995,13.825,-1143.7,62.1,962.9901961,89.775,-17.5,,,,
Louisiana,1995,15.35,-991.2,69.125,1665.490196,99.85,990,,,,
Maine,1995,19.275,-598.7,33.775,-1869.509804,61.7,-2825,,,,
Maryland,1995,47.25,2198.8,46.925,-554.5098039,108.275,1832.5,,,,
Massachusetts,1995,35.725,1046.3,32.7,-1977.009804,78.575,-1137.5,,,,
Michigan,1995,30.45,518.8,48.95,-352.0098039,92.325,237.5,,,,
Minnesota,1995,16.25,-901.2,33.2,-1927.009804,57.725,-3222.5,,,,
Mississippi,1995,16.2,-906.2,76.4,2392.990196,109.475,1952.5,,,,
Missouri,1995,17.1,-816.2,55.675,320.4901961,85.625,-432.5,,,,
Montana,1995,18.85,-641.2,40.975,-1149.509804,69.85,-2010,,,,
Nebraska,1995,15.225,-1003.7,39.45,-1302.009804,64.15,-2580,,,,
Nevada,1995,51.05,2578.8,69.775,1730.490196,139.875,4992.5,,,,
New Hampshire,1995,21.35,-391.2,28.975,-2349.509804,58.275,-3167.5,,,,
New Jersey,1995,48.8,2353.8,36.125,-1634.509804,97.025,707.5,,,,
New Mexico,1995,23.9,-136.2,72.8,2032.990196,113.65,2370,,,,
New York,1995,52.375,2711.3,41.05,-1142.009804,106.875,1692.5,,,,
North Carolina,1995,27.4,213.8,64.025,1155.490196,106.95,1700,,,,
North Dakota,1995,11.35,-1391.2,32.925,-1954.509804,52,-3795,,,,
Ohio,1995,19.225,-603.7,52.3,-17.00980392,83.875,-607.5,,,,
Oklahoma,1995,13.45,-1181.2,64.775,1230.490196,92.575,262.5,,,,
Oregon,1995,27.775,251.3,51.125,-134.5098039,91.875,192.5,,,,
Pennsylvania,1995,21.55,-371.2,40,-1247.009804,71.675,-1827.5,,,,
Rhode Island,1995,31.575,631.3,40.725,-1174.509804,83.575,-637.5,,,,
South Carolina,1995,19.775,-548.7,62.575,1010.490196,96.925,697.5,,,,
South Dakota,1995,12.15,-1311.2,42.15,-1032.009804,63.9,-2605,,,,
Tennessee,1995,19.025,-623.7,66.1,1362.990196,100.275,1032.5,,,,
Texas,1995,23.175,-208.7,74.375,2190.490196,114.775,2482.5,,,,
Utah,1995,7.7,-1756.2,42.325,-1014.509804,59.275,-3067.5,,,,
Vermont,1995,23.825,-143.7,31.025,-2144.509804,63.425,-2652.5,,,,
Virginia,1995,30.95,568.8,46.975,-549.5098039,90.4,45,,,,
Washington,1995,32.15,688.8,46.95,-552.0098039,91.7,175,,,,
West Virginia,1995,13.425,-1183.7,51.95,-52.00980392,77.125,-1282.5,,,,
Wisconsin,1995,16.925,-833.7,38.175,-1429.509804,64.45,-2550,,,,
Wyoming,1995,17.975,-728.7,45.975,-649.5098039,74.95,-1500,,,,
Alabama,1996,19.9,-396.4,67.1,1627.647059,102.4,1583.8,,,,
Alaska,1996,18.9,-496.4,50.8,-2.352941176,81.7,-486.2,,,,
Arizona,1996,26.5,263.6,71.5,2067.647059,115,2843.8,,,,
Arkansas,1996,16,-786.4,73.5,2267.647059,105.8,1923.8,,,,
California,1996,46.6,2273.6,61,1017.647059,124.4,3783.8,,,,
Colorado,1996,29.6,573.6,50.7,-12.35294118,93.3,673.8,,,,
Connecticut,1996,36.9,1303.6,36.6,-1422.352941,84.5,-206.2,,,,
Delaware,1996,23.8,-6.4,53.8,297.6470588,90.7,413.8,,,,
District of Columbia,1996,,0,79.2,2837.647059,,0,,,,
Florida,1996,40.8,1693.6,57.2,637.6470588,113.5,2693.8,,,,
Georgia,1996,25.4,153.6,66.8,1597.647059,108.2,2163.8,,,,
Hawaii,1996,40,1613.6,48.9,-192.3529412,102.8,1623.8,,,,
Idaho,1996,12,-1186.4,46.9,-392.3529412,69.5,-1706.2,,,,
Illinois,1996,34.9,1103.6,55.3,447.6470588,104.8,1823.8,,,,
Indiana,1996,18.2,-566.4,55.1,427.6470588,86.1,-46.2,,,,
Iowa,1996,11.6,-1226.4,37.4,-1342.352941,57.6,-2896.2,,,,
Kansas,1996,17,-686.4,49.4,-142.3529412,78,-856.2,,,,
Kentucky,1996,12,-1186.4,61.2,1037.647059,86.7,13.8,,,,
Louisiana,1996,15.4,-846.4,66.8,1597.647059,97.1,1053.8,,,,
Maine,1996,18.9,-496.4,31.7,-1912.352941,58.8,-2776.2,,,,
Maryland,1996,45.7,2183.6,45.7,-512.3529412,105.1,1853.8,,,,
Massachusetts,1996,35.1,1123.6,31.1,-1972.352941,76,-1056.2,,,,
Michigan,1996,28.4,453.6,46.4,-442.3529412,87,43.8,,,,
Minnesota,1996,15.5,-836.4,32.3,-1852.352941,55.8,-3076.2,,,,
Mississippi,1996,15.2,-866.4,74,2317.647059,105.5,1893.8,,,,
Missouri,1996,15.5,-836.4,53.2,237.6470588,80.9,-566.2,,,,
Montana,1996,17.3,-656.4,39.3,-1152.352941,66.1,-2046.2,,,,
Nebraska,1996,13.8,-1006.4,38.9,-1192.352941,61.9,-2466.2,,,,
Nevada,1996,50.4,2653.6,69.5,1867.647059,138.8,5223.8,,,,
New Hampshire,1996,21.2,-266.4,28.2,-2262.352941,57.2,-2936.2,,,,
New Jersey,1996,49.6,2573.6,35.2,-1562.352941,96.8,1023.8,,,,
New Mexico,1996,22,-186.4,70.5,1967.647059,108.8,2223.8,,,,
New York,1996,50.3,2643.6,39.9,-1092.352941,103.2,1663.8,,,,
North Carolina,1996,25.3,143.6,62.3,1147.647059,102.6,1603.8,,,,
North Dakota,1996,10.7,-1316.4,31.6,-1922.352941,49.7,-3686.2,,,,
Ohio,1996,18.5,-536.4,50.4,-42.35294118,80.8,-576.2,,,,
Oklahoma,1996,13,-1086.4,63.1,1227.647059,90.1,353.8,,,,
Oregon,1996,26.4,253.6,50.5,-32.35294118,89.6,303.8,,,,
Pennsylvania,1996,19.7,-416.4,38.4,-1242.352941,67.7,-1886.2,,,,
Rhode Island,1996,30.6,673.6,38.9,-1192.352941,80.3,-626.2,,,,
South Carolina,1996,18.7,-516.4,60.2,937.6470588,92.9,633.8,,,,
South Dakota,1996,11.4,-1246.4,40.1,-1072.352941,60.6,-2596.2,,,,
Tennessee,1996,17.4,-646.4,64.5,1367.647059,96.6,1003.8,,,,
Texas,1996,22.4,-146.4,73.1,2227.647059,112.4,2583.8,,,,
Utah,1996,7.3,-1656.4,41.2,-962.3529412,57.5,-2906.2,,,,
Vermont,1996,23.2,-66.4,29.5,-2132.352941,60.9,-2566.2,,,,
Virginia,1996,29.6,573.6,45.4,-542.3529412,87,43.8,,,,
Washington,1996,28.9,503.6,45.6,-522.3529412,86.5,-6.2,,,,
West Virginia,1996,12.5,-1136.4,50.5,-32.35294118,74.4,-1216.2,,,,
Wisconsin,1996,15.7,-816.4,36.9,-1392.352941,61.6,-2496.2,,,,
Wyoming,1996,17.5,-636.4,44.7,-612.3529412,72.9,-1366.2,,,,
Alabama,1997,18.8,-408.95,65.475,1591.764706,99.25,1515.55,,,,
Alaska,1997,17.825,-506.45,50.325,76.76470588,79.95,-414.45,,,,
Arizona,1997,25.25,236.05,70.475,2091.764706,112.35,2825.55,,,,
Arkansas,1997,15.075,-781.45,71.625,2206.764706,102.55,1845.55,,,,
California,1997,44.025,2113.55,57.475,791.7647059,117.375,3328.05,,,,
Colorado,1997,26.925,403.55,50.75,119.2647059,90.45,635.55,,,,
Connecticut,1997,35.225,1233.55,35.225,-1433.235294,81,-309.45,,,,
Delaware,1997,25.625,273.55,52.325,276.7647059,90.95,685.55,,,,
District of Columbia,1997,,0,72.725,2316.764706,,0,,,,
Florida,1997,39.025,1613.55,55.6,604.2647059,109.625,2553.05,,,,
Georgia,1997,23.625,73.55,65.725,1616.764706,104.925,2083.05,,,,
Hawaii,1997,38.575,1568.55,48.2,-135.7352941,100.35,1625.55,,,,
Idaho,1997,11.475,-1141.45,45.85,-370.7352941,67.65,-1644.45,,,,
Illinois,1997,33.125,1023.55,53.45,389.2647059,100.625,1653.05,,,,
Indiana,1997,16.75,-613.95,53.575,401.7647059,82.675,-141.95,,,,
Iowa,1997,11.725,-1116.45,36.6,-1295.735294,56.775,-2731.95,,,,
Kansas,1997,15.825,-706.45,48.525,-103.2352941,75.675,-841.95,,,,
Kentucky,1997,11.075,-1181.45,59.65,1009.264706,83.8,-29.45,,,,
Louisiana,1997,14.375,-851.45,65.6,1604.264706,94.55,1045.55,,,,
Maine,1997,17.95,-493.95,31.05,-1850.735294,56.975,-2711.95,,,,
Maryland,1997,43.775,2088.55,44.575,-498.2352941,101.625,1753.05,,,,
Massachusetts,1997,32.75,986.05,29.775,-1978.235294,71.825,-1226.95,,,,
Michigan,1997,27.35,446.05,44.825,-473.2352941,83.95,-14.45,,,,
Minnesota,1997,14.75,-813.95,31.7,-1785.735294,54.275,-2981.95,,,,
Mississippi,1997,15.375,-751.45,73.025,2346.764706,104.525,2043.05,,,,
Missouri,1997,15.15,-773.95,52.025,246.7647059,79.1,-499.45,,,,
Montana,1997,16.6,-628.95,38.625,-1093.235294,64.55,-1954.45,,,,
Nebraska,1997,13.425,-946.45,38.575,-1098.235294,61.1,-2299.45,,,,
Nevada,1997,47,2411.05,67.7,1814.264706,132.9,4880.55,,,,
New Hampshire,1997,20.2,-268.95,26.975,-2258.235294,54.6,-2949.45,,,,
New Jersey,1997,49.2,2631.05,34.35,-1520.735294,95.325,1123.05,,,,
New Mexico,1997,21.975,-91.45,69.25,1969.264706,107.275,2318.05,,,,
New York,1997,49.225,2633.55,38.225,-1133.235294,100.025,1593.05,,,,
North Carolina,1997,24.525,163.55,61.375,1181.764706,100.625,1653.05,,,,
North Dakota,1997,10,-1288.95,30.525,-1903.235294,47.625,-3646.95,,,,
Ohio,1997,18.15,-473.95,49.3,-25.73529412,79.1,-499.45,,,,
Oklahoma,1997,12.85,-1003.95,62.225,1266.764706,88.875,478.05,,,,
Oregon,1997,26,311.05,48.55,-100.7352941,86.825,273.05,,,,
Pennsylvania,1997,19.1,-378.95,37.3,-1225.735294,65.725,-1836.95,,,,
Rhode Island,1997,28.65,576.05,37.55,-1200.735294,76.55,-754.45,,,,
South Carolina,1997,18.275,-461.45,59.6,1004.264706,91.7,760.55,,,,
South Dakota,1997,10.325,-1256.45,39.575,-998.2352941,58.8,-2529.45,,,,
Tennessee,1997,16.975,-591.45,63.2,1364.264706,94.55,1045.55,,,,
Texas,1997,21.075,-181.45,71.95,2239.264706,109.575,2548.05,,,,
Utah,1997,6.925,-1596.45,40.4,-915.7352941,56.1,-2799.45,,,,
Vermont,1997,20.925,-196.45,27.975,-2158.235294,56.55,-2754.45,,,,
Virginia,1997,27.375,448.55,44.225,-533.2352941,83.175,-91.95,,,,
Washington,1997,28.125,523.55,43.95,-560.7352941,83.65,-44.45,,,,
West Virginia,1997,11.775,-1111.45,49.5,-5.735294118,72.4,-1169.45,,,,
Wisconsin,1997,14.775,-811.45,36.45,-1310.735294,60.025,-2406.95,,,,
Wyoming,1997,19.6,-328.95,43.925,-563.2352941,74.3,-979.45,,,,
Alabama,1998,17.7,-421.5,63.85,1555.882353,96.1,1447.3,,,,
Alaska,1998,16.75,-516.5,49.85,155.8823529,78.2,-342.7,,,,
Arizona,1998,24,208.5,69.45,2115.882353,109.7,2807.3,,,,
Arkansas,1998,14.15,-776.5,69.75,2145.882353,99.3,1767.3,,,,
California,1998,41.45,1953.5,53.95,565.8823529,110.35,2872.3,,,,
Colorado,1998,24.25,233.5,50.8,250.8823529,87.6,597.3,,,,
Connecticut,1998,33.55,1163.5,33.85,-1444.117647,77.5,-412.7,,,,
Delaware,1998,27.45,553.5,50.85,255.8823529,91.2,957.3,,,,
District of Columbia,1998,,0,66.25,1795.882353,,0,,,,
Florida,1998,37.25,1533.5,54,570.8823529,105.75,2412.3,,,,
Georgia,1998,21.85,-6.5,64.65,1635.882353,101.65,2002.3,,,,
Hawaii,1998,37.15,1523.5,47.5,-79.11764706,97.9,1627.3,,,,
Idaho,1998,10.95,-1096.5,44.8,-349.1176471,65.8,-1582.7,,,,
Illinois,1998,31.35,943.5,51.6,330.8823529,96.45,1482.3,,,,
Indiana,1998,15.3,-661.5,52.05,375.8823529,79.25,-237.7,,,,
Iowa,1998,11.85,-1006.5,35.8,-1249.117647,55.95,-2567.7,,,,
Kansas,1998,14.65,-726.5,47.65,-64.11764706,73.35,-827.7,,,,
Kentucky,1998,10.15,-1176.5,58.1,980.8823529,80.9,-72.7,,,,
Louisiana,1998,13.35,-856.5,64.4,1610.882353,92,1037.3,,,,
Maine,1998,17,-491.5,30.4,-1789.117647,55.15,-2647.7,,,,
Maryland,1998,41.85,1993.5,43.45,-484.1176471,98.15,1652.3,,,,
Massachusetts,1998,30.4,848.5,28.45,-1984.117647,67.65,-1397.7,,,,
Michigan,1998,26.3,438.5,43.25,-504.1176471,80.9,-72.7,,,,
Minnesota,1998,14,-791.5,31.1,-1719.117647,52.75,-2887.7,,,,
Mississippi,1998,15.55,-636.5,72.05,2375.882353,103.55,2192.3,,,,
Missouri,1998,14.8,-711.5,50.85,255.8823529,77.3,-432.7,,,,
Montana,1998,15.9,-601.5,37.95,-1034.117647,63,-1862.7,,,,
Nebraska,1998,13.05,-886.5,38.25,-1004.117647,60.3,-2132.7,,,,
Nevada,1998,43.6,2168.5,65.9,1760.882353,127,4537.3,,,,
New Hampshire,1998,19.2,-271.5,25.75,-2254.117647,52,-2962.7,,,,
New Jersey,1998,48.8,2688.5,33.5,-1479.117647,93.85,1222.3,,,,
New Mexico,1998,21.95,3.5,68,1970.882353,105.75,2412.3,,,,
New York,1998,48.15,2623.5,36.55,-1174.117647,96.85,1522.3,,,,
North Carolina,1998,23.75,183.5,60.45,1215.882353,98.65,1702.3,,,,
North Dakota,1998,9.3,-1261.5,29.45,-1884.117647,45.55,-3607.7,,,,
Ohio,1998,17.8,-411.5,48.2,-9.117647059,77.4,-422.7,,,,
Oklahoma,1998,12.7,-921.5,61.35,1305.882353,87.65,602.3,,,,
Oregon,1998,25.6,368.5,46.6,-169.1176471,84.05,242.3,,,,
Pennsylvania,1998,18.5,-341.5,36.2,-1209.117647,63.75,-1787.7,,,,
Rhode Island,1998,26.7,478.5,36.2,-1209.117647,72.8,-882.7,,,,
South Carolina,1998,17.85,-406.5,59,1070.882353,90.5,887.3,,,,
South Dakota,1998,9.25,-1266.5,39.05,-924.1176471,57,-2462.7,,,,
Tennessee,1998,16.55,-536.5,61.9,1360.882353,92.5,1087.3,,,,
Texas,1998,19.75,-216.5,70.8,2250.882353,106.75,2512.3,,,,
Utah,1998,6.55,-1536.5,39.6,-869.1176471,54.7,-2692.7,,,,
Vermont,1998,18.65,-326.5,26.45,-2184.117647,52.2,-2942.7,,,,
Virginia,1998,25.15,323.5,43.05,-524.1176471,79.35,-227.7,,,,
Washington,1998,27.35,543.5,42.3,-599.1176471,80.8,-82.7,,,,
West Virginia,1998,11.05,-1086.5,48.5,20.88235294,70.4,-1122.7,,,,
Wisconsin,1998,13.85,-806.5,36,-1229.117647,58.45,-2317.7,,,,
Wyoming,1998,21.7,-21.5,43.15,-514.1176471,75.7,-592.7,,,,
Alabama,1999,16.6,-434.05,62.225,1520,92.95,1379.05,,,,
Alaska,1999,15.675,-526.55,49.375,235,76.45,-270.95,,,,
Arizona,1999,22.75,180.95,68.425,2140,107.05,2789.05,,,,
Arkansas,1999,13.225,-771.55,67.875,2085,96.05,1689.05,,,,
California,1999,38.875,1793.45,50.425,340,103.325,2416.55,,,,
Colorado,1999,21.575,63.45,50.85,382.5,84.75,559.05,,,,
Connecticut,1999,31.875,1093.45,32.475,-1455,74,-515.95,,,,
Delaware,1999,29.275,833.45,49.375,235,91.45,1229.05,,,,
District of Columbia,1999,,0,59.775,1275,,0,,,,
Florida,1999,35.475,1453.45,52.4,537.5,101.875,2271.55,,,,
Georgia,1999,20.075,-86.55,63.575,1655,98.375,1921.55,,,,
Hawaii,1999,35.725,1478.45,46.8,-22.5,95.45,1629.05,,,,
Idaho,1999,10.425,-1051.55,43.75,-327.5,63.95,-1520.95,,,,
Illinois,1999,29.575,863.45,49.75,272.5,92.275,1311.55,,,,
Indiana,1999,13.85,-709.05,50.525,350,75.825,-333.45,,,,
Iowa,1999,11.975,-896.55,35,-1202.5,55.125,-2403.45,,,,
Kansas,1999,13.475,-746.55,46.775,-25,71.025,-813.45,,,,
Kentucky,1999,9.225,-1171.55,56.55,952.5,78,-115.95,,,,
Louisiana,1999,12.325,-861.55,63.2,1617.5,89.45,1029.05,,,,
Maine,1999,16.05,-489.05,29.75,-1727.5,53.325,-2583.45,,,,
Maryland,1999,39.925,1898.45,42.325,-470,94.675,1551.55,,,,
Massachusetts,1999,28.05,710.95,27.125,-1990,63.475,-1568.45,,,,
Michigan,1999,25.25,430.95,41.675,-535,77.85,-130.95,,,,
Minnesota,1999,13.25,-769.05,30.5,-1652.5,51.225,-2793.45,,,,
Mississippi,1999,15.725,-521.55,71.075,2405,102.575,2341.55,,,,
Missouri,1999,14.45,-649.05,49.675,265,75.5,-365.95,,,,
Montana,1999,15.2,-574.05,37.275,-975,61.45,-1770.95,,,,
Nebraska,1999,12.675,-826.55,37.925,-910,59.5,-1965.95,,,,
Nevada,1999,40.2,1925.95,64.1,1707.5,121.1,4194.05,,,,
New Hampshire,1999,18.2,-274.05,24.525,-2250,49.4,-2975.95,,,,
New Jersey,1999,48.4,2745.95,32.65,-1437.5,92.375,1321.55,,,,
New Mexico,1999,21.925,98.45,66.75,1972.5,104.225,2506.55,,,,
New York,1999,47.075,2613.45,34.875,-1215,93.675,1451.55,,,,
North Carolina,1999,22.975,203.45,59.525,1250,96.675,1751.55,,,,
North Dakota,1999,8.6,-1234.05,28.375,-1865,43.475,-3568.45,,,,
Ohio,1999,17.45,-349.05,47.1,7.5,75.7,-345.95,,,,
Oklahoma,1999,12.55,-839.05,60.475,1345,86.425,726.55,,,,
Oregon,1999,25.2,425.95,44.65,-237.5,81.275,211.55,,,,
Pennsylvania,1999,17.9,-304.05,35.1,-1192.5,61.775,-1738.45,,,,
Rhode Island,1999,24.75,380.95,34.85,-1217.5,69.05,-1010.95,,,,
South Carolina,1999,17.425,-351.55,58.4,1137.5,89.3,1014.05,,,,
South Dakota,1999,8.175,-1276.55,38.525,-850,55.2,-2395.95,,,,
Tennessee,1999,16.125,-481.55,60.6,1357.5,90.45,1129.05,,,,
Texas,1999,18.425,-251.55,69.65,2262.5,103.925,2476.55,,,,
Utah,1999,6.175,-1476.55,38.8,-822.5,53.3,-2585.95,,,,
Vermont,1999,16.375,-456.55,24.925,-2210,47.85,-3130.95,,,,
Virginia,1999,22.925,198.45,41.875,-515,75.525,-363.45,,,,
Washington,1999,26.575,563.45,40.65,-637.5,77.95,-120.95,,,,
West Virginia,1999,10.325,-1061.55,47.5,47.5,68.4,-1075.95,,,,
Wisconsin,1999,12.925,-801.55,35.55,-1147.5,56.875,-2228.45,,,,
Wyoming,1999,23.8,285.95,42.375,-465,77.1,-205.95,,,,
Alabama,2000,15.5,-510.5882353,60.6,1484.117647,89.8,1222.352941,,,,
Alaska,2000,14.6,-600.5882353,48.9,314.1176471,74.7,-287.6470588,,,,
Arizona,2000,21.5,89.41176471,67.4,2164.117647,104.4,2682.352941,,,,
Arkansas,2000,12.3,-830.5882353,66,2024.117647,92.8,1522.352941,,,,
California,2000,36.3,1569.411765,46.9,114.1176471,96.3,1872.352941,,,,
Colorado,2000,18.9,-170.5882353,50.9,514.1176471,81.9,432.3529412,,,,
Connecticut,2000,30.2,959.4117647,31.1,-1465.882353,70.5,-707.6470588,,,,
Delaware,2000,31.1,1049.411765,47.9,214.1176471,91.7,1412.352941,,,,
District of Columbia,2000,52.6,3199.411765,53.3,754.1176471,121.8,4422.352941,,,,
Florida,2000,33.7,1309.411765,50.8,504.1176471,98,2042.352941,,,,
Georgia,2000,18.3,-230.5882353,62.5,1674.117647,95.1,1752.352941,,,,
Hawaii,2000,34.3,1369.411765,46.1,34.11764706,93,1542.352941,,,,
Idaho,2000,9.9,-1070.588235,42.7,-305.8823529,62.1,-1547.647059,,,,
Illinois,2000,27.8,719.4117647,47.9,214.1176471,88.1,1052.352941,,,,
Indiana,2000,12.4,-820.5882353,49,324.1176471,72.4,-517.6470588,,,,
Iowa,2000,12.1,-850.5882353,34.2,-1155.882353,54.3,-2327.647059,,,,
Kansas,2000,12.3,-830.5882353,45.9,14.11764706,68.7,-887.6470588,,,,
Kentucky,2000,8.3,-1230.588235,55,924.1176471,75.1,-247.6470588,,,,
Louisiana,2000,11.3,-930.5882353,62,1624.117647,86.9,932.3529412,,,,
Maine,2000,15.1,-550.5882353,29.1,-1665.882353,51.5,-2607.647059,,,,
Maryland,2000,38,1739.411765,41.2,-455.8823529,91.2,1362.352941,,,,
Massachusetts,2000,25.7,509.4117647,25.8,-1995.882353,59.3,-1827.647059,,,,
Michigan,2000,24.2,359.4117647,40.1,-565.8823529,74.8,-277.6470588,,,,
Minnesota,2000,12.5,-810.5882353,29.9,-1585.882353,49.7,-2787.647059,,,,
Mississippi,2000,15.9,-470.5882353,70.1,2434.117647,101.6,2402.352941,,,,
Missouri,2000,14.1,-650.5882353,48.5,274.1176471,73.7,-387.6470588,,,,
Montana,2000,14.5,-610.5882353,36.6,-915.8823529,59.9,-1767.647059,,,,
Nebraska,2000,12.3,-830.5882353,37.6,-815.8823529,58.7,-1887.647059,,,,
Nevada,2000,36.8,1619.411765,62.3,1654.117647,115.2,3762.352941,,,,
New Hampshire,2000,17.2,-340.5882353,23.3,-2245.882353,46.8,-3077.647059,,,,
New Jersey,2000,48,2739.411765,31.8,-1395.882353,90.9,1332.352941,,,,
New Mexico,2000,21.9,129.4117647,65.5,1974.117647,102.7,2512.352941,,,,
New York,2000,46,2539.411765,33.2,-1255.882353,90.5,1292.352941,,,,
North Carolina,2000,22.2,159.4117647,58.6,1284.117647,94.7,1712.352941,,,,
North Dakota,2000,7.9,-1270.588235,27.3,-1845.882353,41.4,-3617.647059,,,,
Ohio,2000,17.1,-350.5882353,46,24.11764706,74,-357.6470588,,,,
Oklahoma,2000,12.4,-820.5882353,59.6,1384.117647,85.2,762.3529412,,,,
Oregon,2000,24.8,419.4117647,42.7,-305.8823529,78.5,92.35294118,,,,
Pennsylvania,2000,17.3,-330.5882353,34,-1175.882353,59.8,-1777.647059,,,,
Rhode Island,2000,22.8,219.4117647,33.5,-1225.882353,65.3,-1227.647059,,,,
South Carolina,2000,17,-360.5882353,57.8,1204.117647,88.1,1052.352941,,,,
South Dakota,2000,7.1,-1350.588235,38,-775.8823529,53.4,-2417.647059,,,,
Tennessee,2000,15.7,-490.5882353,59.3,1354.117647,88.4,1082.352941,,,,
Texas,2000,17.1,-350.5882353,68.5,2274.117647,101.1,2352.352941,,,,
Utah,2000,5.8,-1480.588235,38,-775.8823529,51.9,-2567.647059,,,,
Vermont,2000,14.1,-650.5882353,23.4,-2235.882353,43.5,-3407.647059,,,,
Virginia,2000,20.7,9.411764706,40.7,-505.8823529,71.7,-587.6470588,,,,
Washington,2000,25.8,519.4117647,39,-675.8823529,75.1,-247.6470588,,,,
West Virginia,2000,9.6,-1100.588235,46.5,74.11764706,66.4,-1117.647059,,,,
Wisconsin,2000,12,-860.5882353,35.1,-1065.882353,55.3,-2227.647059,,,,
Wyoming,2000,25.9,529.4117647,41.6,-415.8823529,78.5,92.35294118,,,,
Alabama,2001,14.78,-498.3529412,58.1,1376.784314,86,1106.196078,,,,
Alaska,2001,14.82,-494.3529412,47.1,276.7843137,72.8,-213.8039216,,,,
Arizona,2001,20.76,99.64705882,65.66,2132.784314,101.52,2658.196078,,,,
