County,Diagnosis,count
LIVINGSTON,SYPHILIS,1
MACON,CHLAMYDIA,28
MACON,GONORRHEA,6
MADISON,CHLAMYDIA,34
MADISON,GONORRHEA,18
MADISON,SYPHILIS,1
MARIES,CHLAMYDIA,25
MARIES,GONORRHEA,6
MARIES,SYPHILIS,2
MARION,CHLAMYDIA,137
MARION,GONORRHEA,58
MARION,SYPHILIS,3
MCDONALD,CHLAMYDIA,86
MCDONALD,GONORRHEA,18
MCDONALD,SYPHILIS,3
MERCER,CHLAMYDIA,5
MERCER,GONORRHEA,1
MILLER,CHLAMYDIA,60
MILLER,GONORRHEA,17
MILLER,SYPHILIS,10
MISSISSIPPI,CHLAMYDIA,100
MISSISSIPPI,GONORRHEA,63
MISSISSIPPI,SYPHILIS,10
MONITEAU,CHLAMYDIA,53
MONITEAU,GONORRHEA,12
MONITEAU,SYPHILIS,10
MONROE,CHLAMYDIA,14
MONROE,GONORRHEA,5
MONROE,SYPHILIS,1
MONTGOMERY,CHLAMYDIA,30
MONTGOMERY,GONORRHEA,7
MONTGOMERY,SYPHILIS,2
MORGAN,CHLAMYDIA,40
MORGAN,GONORRHEA,8
MORGAN,SYPHILIS,2
NEW MADRID,CHLAMYDIA,106
NEW MADRID,GONORRHEA,62
NEW MADRID,SYPHILIS,3
NEWTON,CHLAMYDIA,192
NEWTON,GONORRHEA,71
NEWTON,SYPHILIS,14
NODAWAY,CHLAMYDIA,141
NODAWAY,GONORRHEA,28
OREGON,CHLAMYDIA,21
OREGON,GONORRHEA,4
OSAGE,CHLAMYDIA,31
OSAGE,GONORRHEA,14
OZARK,CHLAMYDIA,17
OZARK,GONORRHEA,4
PEMISCOT,CHLAMYDIA,173
PEMISCOT,GONORRHEA,71
PEMISCOT,SYPHILIS,4
PERRY,CHLAMYDIA,69
PERRY,GONORRHEA,13
PETTIS,CHLAMYDIA,161
PETTIS,GONORRHEA,97
PETTIS,SYPHILIS,5
PHELPS,CHLAMYDIA,131
PHELPS,GONORRHEA,38
PHELPS,SYPHILIS,9
PIKE,CHLAMYDIA,49
PIKE,GONORRHEA,17
PIKE,SYPHILIS,2
PLATTE,CHLAMYDIA,413
PLATTE,GONORRHEA,162
PLATTE,SYPHILIS,21
POLK,CHLAMYDIA,95
POLK,GONORRHEA,42
POLK,SYPHILIS,4
PULASKI,CHLAMYDIA,403
PULASKI,GONORRHEA,86
PULASKI,SYPHILIS,9
PUTNAM,CHLAMYDIA,11
PUTNAM,GONORRHEA,1
RALLS,CHLAMYDIA,30
RALLS,GONORRHEA,13
RANDOLPH,CHLAMYDIA,78
RANDOLPH,GONORRHEA,30
RAY,CHLAMYDIA,62
RAY,GONORRHEA,18
RAY,SYPHILIS,7
REYNOLDS,CHLAMYDIA,12
REYNOLDS,GONORRHEA,3
REYNOLDS,SYPHILIS,1
RIPLEY,CHLAMYDIA,16
RIPLEY,GONORRHEA,21
SALINE,CHLAMYDIA,91
SALINE,GONORRHEA,43
SALINE,SYPHILIS,11
SCHUYLER,CHLAMYDIA,7
SCHUYLER,GONORRHEA,2
SCOTLAND,CHLAMYDIA,6
SCOTLAND,GONORRHEA,4
SCOTT,CHLAMYDIA,192
